Datum;Beschreibung;Ausprägung;Total;Kanton_Zürich_Ja;Kanton_Zürich_Nein;Alter_15-29;Alter_30-64;Alter_65-79;Männlich;Weiblich;Städtisch;Ländlich;Erwerbstätig;In_Ausbildung;Nicht_Erwerbstätig
22.02.2020;Radius;100++ Kilometer;3.714098779;3.484002709;3.772464304;5.158255846;3.271688613;3.452598602;3.755667929;3.672426073;4.168856704;3.090406454;3.550522122;4.82643339;3.563421471
23.02.2020;Distanz;weniger als 2 Km;23.62443401;23.97142664;23.53588273;13.63994969;25.45106607;30.7675029;21.27960549;25.9722779;21.60375206;26.3661;24.15652478;13.74234009;29.46427678
23.02.2020;Distanz;2 - 10 Kilometer;20.51854097;21.46140243;20.27792609;18.71393653;20.50099809;23.32989398;20.59315145;20.44383454;23.63861912;16.28521166;20.12994262;19.48970087;23.22844023
23.02.2020;Distanz;10 - 20 Kilometer;13.63503857;14.08045534;13.5213698;11.78930509;14.21821767;13.88200152;12.81117453;14.45996207;14.69530943;12.1964606;13.60101704;12.44126439;14.80585626
23.02.2020;Distanz;20 - 50 Kilometer;17.37705944;16.77974415;17.52949217;20.93490875;17.46131968;11.61716204;18.98714701;15.76490134;15.6621598;19.70383928;17.84689663;20.43760366;12.56404698
23.02.2020;Distanz;50 - 100 Kilometer;12.90425383;12.95931383;12.89020272;16.1958919;11.98103152;11.95308146;12.34882277;13.46039916;12.05272012;14.05961676;13.088991;13.68244372;11.37146093
23.02.2020;Distanz;100++ Kilometer;11.94067318;10.74765761;12.2451265;18.72600804;10.38736697;8.450358101;13.98009874;9.898624982;12.34743948;11.38877171;11.17662793;20.20664727;8.565918835
23.02.2020;Radius;weniger als 500 Meter;23.64292209;24.31107188;23.47241265;13.7238571;25.54650246;30.3503924;21.85217055;25.43597648;21.82158588;26.11411531;23.69313641;14.67217133;30.99313955
23.02.2020;Radius;500 Meter - 2 Kilometer;13.89536063;13.15326388;14.08474107;12.04509602;13.78803855;17.16847407;14.80462501;12.98492696;15.72325419;11.41527038;13.7545993;11.90047511;16.24911436
23.02.2020;Radius;2 - 10 Kilometer;27.57504364;28.06716623;27.44945571;26.12825585;28.33181651;26.45840009;26.6955504;28.45566788;29.63692083;24.77748384;28.11886716;25.23084319;26.98339367
